epoch,train_task_bce,validation_task_bce,train_accuracy,validation_accuracy
93,0.25766328573226926,0.2670338749885559,0.9875,1.0
94,0.264694145321846,0.25448256731033325,0.9875,1.0
95,0.2592551916837692,0.25348958373069763,0.9875,1.0
96,0.2546334356069565,0.2503747045993805,0.9875,1.0
97,0.25382609367370607,0.25306862592697144,0.9875,1.0
98,0.2514969676733017,0.2505530118942261,0.9875,1.0
99,0.24807776510715485,0.24974091351032257,0.9875,1.0
100,0.24915016293525696,0.25241756439208984,0.9875,1.0
101,0.2509989798069,0.24884459376335144,0.9875,1.0
102,0.2487972140312195,0.24526624381542206,0.9875,1.0
103,0.25112943947315214,0.25300344824790955,0.9875,1.0
104,0.2581157088279724,0.2569648027420044,0.9875,1.0
105,0.2588781535625458,0.25442346930503845,0.9875,1.0
106,0.2648636430501938,0.25464046001434326,0.9875,1.0
107,0.2517339110374451,0.2605113387107849,0.9875,1.0
108,0.2551707535982132,0.2502731382846832,0.9875,1.0
109,0.2511020302772522,0.26328542828559875,0.9875,1.0
110,0.25274051129817965,0.25084027647972107,0.9875,1.0
111,0.2490376651287079,0.2612362802028656,0.9875,1.0
112,0.25043964982032774,0.24728840589523315,0.9875,1.0
113,0.2445825845003128,0.23923301696777344,0.9875,1.0
114,0.24576197266578675,0.24334095418453217,0.9875,1.0
115,0.24199579656124115,0.24722091853618622,0.9875,1.0
116,0.2420344293117523,0.2410944551229477,0.9875,1.0
117,0.2431706130504608,0.24317826330661774,0.9875,1.0
118,0.24837718307971954,0.24578039348125458,0.9875,1.0
119,0.24428600072860718,0.24421906471252441,0.9875,1.0
120,0.24587766230106353,0.26109907031059265,0.9875,1.0
121,0.2494558185338974,0.24232368171215057,0.9875,1.0
122,0.24388439059257508,0.23864223062992096,0.9875,1.0
123,0.23907308280467987,0.24132800102233887,0.9875,1.0
124,0.23838763535022736,0.23770484328269958,0.9875,1.0
125,0.2352363497018814,0.2351764738559723,0.9875,1.0
126,0.2368040233850479,0.23773552477359772,0.9875,1.0
127,0.23328882455825806,0.24081653356552124,0.9875,1.0
128,0.23587241172790527,0.234280064702034,0.9875,1.0
129,0.23630288541316985,0.2391657680273056,0.9875,1.0
130,0.24272875487804413,0.24382223188877106,0.9875,1.0
131,0.24242684841156006,0.2386229932308197,0.9875,1.0
132,0.23732770681381227,0.2389400452375412,0.9875,1.0
133,0.2390612006187439,0.23902253806591034,0.9875,1.0
134,0.2376684308052063,0.2346673458814621,0.9875,1.0
135,0.23345563411712647,0.23588700592517853,0.9875,1.0
136,0.23787271678447724,0.23048344254493713,0.9875,1.0
137,0.2332086056470871,0.2356666624546051,0.9875,1.0
138,0.23454728424549104,0.2312067598104477,0.9875,1.0
139,0.23592087924480437,0.2394261658191681,0.9875,1.0
140,0.2323409914970398,0.22799955308437347,0.9875,1.0
141,0.22708081007003783,0.22573897242546082,0.9875,1.0
