predicted_event,start_seconds,end_seconds,duration_ms,matched_truth_event,iou,onset_error_ms,offset_error_ms
34,79.56096666666667,79.91746666666667,356.5,33,0.6688555347091932,37.733333333333334,-138.76666666666668
35,81.84973333333333,82.18983333333334,340.1,34,0.4962548638132296,147.3,-197.93333333333334
36,84.13583333333334,84.49306666666666,357.23333333333335,35,0.6660244857373687,35.3,-143.83333333333334
37,86.4687,86.88306666666666,414.3666666666667,36,0.6813000109613065,86.23333333333333,-107.6
38,88.74946666666666,89.17,420.53333333333336,37,0.7580364117046205,66.23333333333333,-68.0
39,91.0615,91.52106666666667,459.56666666666666,38,0.8098566729323309,58.36666666666667,-49.53333333333333
40,94.4173,95.004,586.7,39,0.6885611454502778,201.8,-63.56666666666667
41,96.6178,97.08103333333334,463.23333333333335,40,0.9356267737246488,18.333333333333332,12.666666666666666
42,97.73036666666667,98.02253333333333,292.1666666666667,,,,
43,99.10223333333333,99.8963,794.0666666666667,41,0.4133944423799496,13.233333333333333,460.3333333333333
44,101.2595,101.90113333333333,641.6333333333333,42,0.5609425241157556,21.833333333333332,269.46666666666664
45,103.58126666666666,104.25133333333333,670.0666666666667,43,0.641211948520682,31.833333333333332,220.0
46,105.94376666666666,106.50386666666667,560.1,44,0.6425408719346049,27.1,182.8
47,108.1086,108.69753333333334,588.9333333333333,45,0.6528758829465187,5.666666666666667,200.73333333333332
48,109.6468,109.90436666666666,257.56666666666666,,,,
49,110.34083333333334,111.54593333333334,1205.1,46,0.32708212319862806,-170.6,640.3333333333334
50,112.7812,113.20946666666667,428.26666666666665,47,0.8964530461631147,14.366666666666667,31.466666666666665
51,115.04513333333334,115.86333333333333,818.2,48,0.6309690870454272,13.166666666666666,293.6333333333333
52,117.3259,118.3464,1020.5,49,0.45977462028417443,-18.6,532.7
53,119.6432,120.5401,896.9,50,0.5529935422671385,16.733333333333334,391.6666666666667
54,121.97466666666666,122.78603333333334,811.3666666666667,51,0.5706884960651718,31.533333333333335,330.3333333333333
55,124.24073333333334,125.10043333333333,859.7,52,0.5582006551382647,15.433333333333334,371.2
56,126.38776666666666,127.314,926.2333333333333,53,0.6543841811871122,24.533333333333335,304.06666666666666
57,128.84203333333335,129.65573333333333,813.7,54,0.5426421739304438,19.2,361.73333333333335
58,131.106,131.54466666666667,438.6666666666667,55,0.8992504409171076,14.933333333333334,30.766666666666666
59,131.94096666666667,132.1681,227.13333333333333,,,,
60,133.41013333333333,133.96913333333333,559.0,56,0.6567972350230414,19.666666666666668,178.93333333333334
61,135.77853333333334,136.53063333333333,752.1,57,0.6517768255204952,18.0,250.16666666666666
62,138.0771,138.93083333333334,853.7333333333333,58,0.5938609937563091,37.833333333333336,324.26666666666665
63,141.48746666666668,141.89916666666667,411.7,59,0.861685552407932,58.96666666666667,6.133333333333334
64,143.57346666666666,144.32006666666666,746.6,60,0.6048715639607187,30.7,276.43333333333334
65,145.95696666666666,146.35843333333332,401.46666666666664,61,0.8523105229636968,17.066666666666666,-52.5
66,148.20966666666666,149.0375,827.8333333333334,62,0.6379225498731877,52.733333333333334,266.1
67,150.467,151.24026666666666,773.2666666666667,63,0.7333666208962676,27.833333333333332,185.76666666666668
68,152.80503333333334,153.69813333333335,893.1,64,0.5997395650031675,54.03333333333333,325.06666666666666
69,155.13646666666668,155.9557,819.2333333333333,65,0.5912476007677543,49.1,305.8333333333333
70,157.33083333333335,158.25373333333334,922.9,66,0.9533962197987166,27.666666666666668,16.633333333333333
71,159.71213333333333,160.51723333333334,805.1,67,0.6758250560717719,27.166666666666668,242.63333333333333
72,162.0012,162.93556666666666,934.3666666666667,68,0.491991009953266,-427.1,47.56666666666667
73,164.314,165.23376666666667,919.7666666666667,69,0.4406696553656486,31.966666666666665,500.3666666666667
74,166.71526666666668,167.31846666666667,603.2,70,0.7721783656923406,47.833333333333336,-130.13333333333333
75,169.03973333333334,169.5601,520.3666666666667,71,0.7516852850539292,27.333333333333332,-144.56666666666666
76,171.3642,172.0265,662.3,72,0.8544017563117453,96.86666666666666,13.666666666666666
77,173.6732,174.19186666666667,518.6666666666666,73,0.8343610917475468,62.166666666666664,-40.8
78,175.87766666666667,176.39436666666666,516.7,74,0.7723467862481316,33.233333333333334,-119.06666666666666
79,178.10863333333333,178.4974,388.76666666666665,75,0.7580760480987976,25.533333333333335,-98.53333333333333
80,180.2069,181.00973333333334,802.8333333333334,76,0.6775952175057337,-202.1,-83.73333333333333
