epoch,learning_rate,adversarial_weight,train_task_loss,val_task_loss,train_total_loss,adversarial_loss,domain_accuracy,train_accuracy,val_accuracy
21,0.01,0.009281817215435998,0.4914852321147919,0.48813602328300476,0.5017550528049469,1.1064440727233886,0.975,0.475,0.8
22,0.01,0.009671472856810564,0.4903956949710846,0.4885680675506592,0.5016685366630554,1.1655763626098632,0.91875,0.45,0.8
23,0.01,0.010051775403834085,0.48900026082992554,0.48813408613204956,0.5014501094818116,1.2385720014572144,0.91875,0.5125,0.7
24,0.01,0.010422594883611814,0.48618376851081846,0.484737753868103,0.4993878543376923,1.2668720006942749,0.94375,0.6625,0.7
25,0.01,0.010783831053971524,0.48166337609291077,0.47430840134620667,0.4957292199134827,1.3043456315994262,0.96875,0.5875,0.6
26,0.005,0.011135412342566639,0.4754927456378937,0.4686116874217987,0.4902151167392731,1.3221216678619385,0.96875,0.5875,0.6
27,0.005,0.011477294662969118,0.47107715010643003,0.46420249342918396,0.48686944246292113,1.3759592294692993,0.95625,0.575,0.6
28,0.005,0.011809460127221092,0.4685479819774628,0.45772072672843933,0.4847211718559265,1.3695110082626343,0.96875,0.5875,0.6
29,0.005,0.012131915673955124,0.461547976732254,0.46238693594932556,0.47803658843040464,1.3591102838516236,0.95625,0.5375,0.4
30,0.005,0.012444691630577948,0.4551710247993469,0.4485824406147003,0.47193936109542844,1.3474288702011108,0.95625,0.575,0.6
31,0.005,0.012747840227179017,0.44719030261039733,0.443450927734375,0.4645368278026581,1.360741877555847,0.96875,0.5875,0.7
32,0.005,0.013041434078812215,0.4430819392204285,0.436134934425354,0.46164764165878297,1.4235935926437377,0.9625,0.6,0.7
33,0.005,0.013325564651644814,0.4435567259788513,0.4481079876422882,0.4627788603305817,1.442500853538513,0.95,0.6375,0.4
34,0.005,0.013600340727208678,0.44427600502967834,0.43853065371513367,0.4645464062690735,1.4904338836669921,0.975,0.6625,0.7
35,0.005,0.013865886877659177,0.4524161159992218,0.4830731451511383,0.4725549042224884,1.4523983478546143,0.95,0.575,0.4
36,0.005,0.014122341963579253,0.44986254572868345,0.4397042989730835,0.4699104368686676,1.419587254524231,0.975,0.5875,0.8
37,0.005,0.014369857664486979,0.4424885630607605,0.43149760365486145,0.46273245215415953,1.4087747097015382,0.96875,0.675,0.5
38,0.005,0.014608597050840682,0.4346350312232971,0.436038613319397,0.4553845763206482,1.4203653573989867,0.975,0.6875,0.7
39,0.005,0.014838733205006354,0.434971022605896,0.4283939301967621,0.45627147555351255,1.4354625701904298,0.96875,0.5875,0.6
40,0.005,0.015060447897376239,0.4306764841079712,0.424107164144516,0.4531680941581726,1.4934222459793092,0.9875,0.5625,0.7
41,0.005,0.015273930322618368,0.42312508821487427,0.4192532002925873,0.44670385122299194,1.5437259435653687,0.99375,0.675,0.7
42,0.005,0.01547937589990597,0.4211145877838135,0.4237290620803833,0.4466516971588135,1.6497503519058228,0.975,0.6375,0.4
43,0.005,0.015676985139930537,0.42241702079772947,0.41784346103668213,0.44967892169952395,1.7389762639999389,0.95625,0.5875,0.7
44,0.005,0.015866962580547702,0.41846224665641785,0.41022223234176636,0.44649689793586733,1.7668566226959228,0.95,0.625,0.7
45,0.005,0.016049515792044184,0.41443034410476687,0.40708860754966736,0.4421655058860779,1.7280996084213256,0.95625,0.675,0.7
46,0.005,0.01622485445224672,0.41795549392700193,0.40753859281539917,0.44395375847816465,1.6023723840713502,0.95,0.55,0.5
47,0.005,0.016393189491019124,0.40508997440338135,0.3974163830280304,0.4293934881687164,1.4825371503829956,0.95625,0.6875,0.7
48,0.005,0.016554732303108683,0.4026876866817474,0.4017297327518463,0.4249980330467224,1.3476722240447998,0.975,0.675,0.7
49,0.005,0.01670969402780393,0.40573323965072633,0.4131545424461365,0.4264735162258148,1.241212248802185,0.9875,0.825,0.8
